mlbam_id,full_name
694362,Blake Dunn
595345,Steven Okert
534910,Jesse Hahn
607067,Colin Rea
684974,Craig Yoho
688497,Taylor Rashi
666142,Cole Ragans
686654,Ty Adcock
621199,Matthew Bowman
701675,Nathan Church
694374,Tim Tawa
673965,Caleb Freeman
687721,Cameron Weston
656849,David Peterson
571927,Steven Matz
666176,Jo Adell
677594,Julio Rodríguez
691740,Daniel Susac
680757,Steven Kwan
677976,Randy Dobnak
691441,Cristian Mena
691720,Kyle Karros
664913,Seth Brown
656848,Michael Petersen
664056,Harrison Bader
682729,Jonatan Clase
677943,Will Banfield
621389,Ty Blach
664761,Alec Bohm
669622,Anthony Bender
543391,Casey Kelly
691023,Jordan Walker
687263,Zach Neto
663366,Beau Burrows
682877,Juan Brito
687765,Mitch Spence
640454,Matt Krook
642048,Tayler Saucedo
701807,Carson Benge
641343,Jake Bauers
683000,Riley Cornelio
656484,Tristan Gray
664918,Kyle Keller
687209,Zach Maxwell
681146,Jonah Bride
642121,Cole Sulser
666200,Jesús Luzardo
682445,Domingo Gonzalez
682987,Spencer Jones
690984,Petey Halpin
682073,David Hensley
691769,Philip Abner
676440,Tanner Bibee
641302,Tyler Alexander
663586,Austin Riley
699912,Jose Fernandez
592836,Taijuan Walker
701487,Pierson Ohl
696062,Wilber Dotel
702358,Trey Lipscomb
695684,Elmer Rodriguez
621111,Walker Buehler
650895,Diego Castillo
649966,Luis Urías
669449,Jake Palisch
695578,James Wood
605130,Scott Barlow
664670,Alejo López
674384,Eduarniel Núñez
702056,Trey Yesavage
656240,Scott Blewett
676466,Jack Winkler
666364,Jordan Balazovic
686826,Bryce Jarvis
702273,Noah Schultz
656786,Parker Mushinski
690382,Michael Darrell-Hicks
621438,Tyrone Taylor
661563,Luis Gil
664874,Seby Zavala
573186,Marcus Stroman
666120,Ian Anderson
695549,Jackson Jobe
678882,Ceddanne Rafaela
666974,Yennier Cano
643446,Jeff Mcneil
691406,Junior Caminero
502043,Kyle Gibson
660844,Leo Rivas
622268,Donovan Walton
656620,Gabe Klobosits
682274,Yaramil Hiraldo
676369,Nelson Velázquez
694361,Will Klein
642701,Dennis Santana
672744,Alexander Canario
669721,Davis Daniel
660162,Yoán Moncada
677865,Justin Bruihl
807712,Luke Keaschall
691718,Pete Crow-Armstrong
700270,Yilber Díaz
678226,Daysbel Hernández
669062,Erik Miller
805299,Brandyn Garcia
682668,Luisangel Acuña
605447,Jordan Romano
657649,Jared Koenig
596142,Gary Sánchez
690928,Hunter Dobbins
673380,Dedniel Núñez
623211,Huascar Brazobán
688363,Graham Pauley
543135,Nathan Eovaldi
666159,Matt Manning
680880,Grant Holman
670770,Tj Friedl
680885,Spencer Schwellenbach
689200,Jacob Melton
641816,Tyler Mahle
663728,Cal Raleigh
594798,Jacob Degrom
641598,Mitch Garver
621512,Tomás Nido
665489,Vladimir Guerrero
671117,Darren Baker
663671,Nic Enright
676477,Garrett Whitlock
674444,Steven Cruz
665856,Jair Camargo
694224,Gabriel Gonzalez
543294,Kyle Hendricks
807747,Rikuu Nishida
695336,Thomas Saggese
650893,Génesis Cabrera
593423,Frankie Montas
572955,Pierce Johnson
670174,Josh Winckowski
669022,Mackenzie Gore
571945,Miles Mikolas
688297,Chris Roycroft
669392,Samad Taylor
518397,Scott Alexander
643565,Mike Tauchman
676475,Alec Burleson
641820,Trey Mancini
677161,Zack Kelly
686930,Mason Barnett
669374,Keston Hiura
669111,John Mcmillon
596019,Francisco Lindor
682982,Daniel Espino
668820,Max Kranick
665839,Enmanuel Valdez
656945,Tanner Scott
700363,Aj Smith-Shawver
640459,Brian Navarreto
605612,Harold Castro
682927,Ronny Simon
679845,Nick Loftin
670090,Wyatt Mills
657247,Brian O'Keefe
682171,Penn Murfee
